[ 2025-10-03 14:25:36,768 ] 14 root - INFO - initiate the data ingestion
[ 2025-10-03 14:25:42,516 ] 73 root - INFO - Performed train test split on the dataframe
[ 2025-10-03 14:25:42,516 ] 74 root - INFO - Excited split_data_as_train_test method of DataIngestion class
[ 2025-10-03 14:25:42,517 ] 81 root - INFO - Exporting train and test file path.
[ 2025-10-03 14:25:42,602 ] 89 root - INFO - Exported train and test file path.
[ 2025-10-03 14:25:42,603 ] 16 root - INFO - Data Ingestion completed
[ 2025-10-03 14:25:42,618 ] 22 root - INFO - Initiate the data validation
[ 2025-10-03 14:25:42,711 ] 34 root - INFO - Required number of columns: 2
[ 2025-10-03 14:25:42,711 ] 35 root - INFO - Dataframe has columns: 31
[ 2025-10-03 14:25:42,711 ] 34 root - INFO - Required number of columns: 2
[ 2025-10-03 14:25:42,711 ] 35 root - INFO - Dataframe has columns: 31
[ 2025-10-03 14:25:42,938 ] 24 root - INFO - Data Validation completed
